l   p

1   0.1
2   0.315
3   0.315
4   0.06858
5   0.05116
6   0.03817
7   0.02847
8   0.02124
9   0.01584
10  0.01182
11  0.00882
12  0.00658
13  0.00491
14  0.00366
15  0.00273
16  0.00204
17  0.00152
18  0.00113
19  0.00085
20  0.00063
21  0.00047
22  0.00035
23  0.00026
24  0.0002
25  0.00015
26  0.00011
27  0.00008
28  0.00006
29  0.00005
30  0.00003
31  0.00003
32  0.00002
33  0.00001
34  0.00001
35  0.00001
36  0.00001
37  0
38  0
39  0

